INDICATOR|CODE
proportion, 45-49, male, tertiary|MYS_PROP_4549_TER_MA
proportion, 45-49, total, no education|MYS_PROP_4549_NED_MF
proportion, 45-49, total, primary|MYS_PROP_4549_PRI_MF
proportion, 45-49, total, secondary|MYS_PROP_4549_SEC_MF
proportion, 45-49, total, tertiary|MYS_PROP_4549_TER_MF
proportion, 45-64, female, no education|MYS_PROP_4564_NED_FE
proportion, 45-64, female, primary|MYS_PROP_4564_PRI_FE
proportion, 45-64, female, secondary|MYS_PROP_4564_SEC_FE
proportion, 45-64, female, tertiary|MYS_PROP_4564_TER_FE
proportion, 45-64, male, no education|MYS_PROP_4564_NED_MA
proportion, 45-64, male, primary|MYS_PROP_4564_PRI_MA
proportion, 45-64, male, secondary|MYS_PROP_4564_SEC_MA
proportion, 45-64, male, tertiary|MYS_PROP_4564_TER_MA
proportion, 45-64, total, no education|MYS_PROP_4564_NED_MF
proportion, 45-64, total, primary|MYS_PROP_4564_PRI_MF
proportion, 45-64, total, secondary|MYS_PROP_4564_SEC_MF
proportion, 45-64, total, tertiary|MYS_PROP_4564_TER_MF
proportion, 50-54, female, no education|MYS_PROP_5054_NED_FE
proportion, 50-54, female, primary|MYS_PROP_5054_PRI_FE
proportion, 50-54, female, secondary|MYS_PROP_5054_SEC_FE
proportion, 50-54, female, tertiary|MYS_PROP_5054_TER_FE
proportion, 50-54, male, no education|MYS_PROP_5054_NED_MA
proportion, 50-54, male, primary|MYS_PROP_5054_PRI_MA
proportion, 50-54, male, secondary|MYS_PROP_5054_SEC_MA
proportion, 50-54, male, tertiary|MYS_PROP_5054_TER_MA
proportion, 50-54, total, no education|MYS_PROP_5054_NED_MF
proportion, 50-54, total, primary|MYS_PROP_5054_PRI_MF
proportion, 50-54, total, secondary|MYS_PROP_5054_SEC_MF
proportion, 50-54, total, tertiary|MYS_PROP_5054_TER_MF
proportion, 55-59, female, no education|MYS_PROP_5559_NED_FE
proportion, 55-59, female, primary|MYS_PROP_5559_PRI_FE
proportion, 55-59, female, secondary|MYS_PROP_5559_SEC_FE
proportion, 55-59, female, tertiary|MYS_PROP_5559_TER_FE
proportion, 55-59, male, no education|MYS_PROP_5559_NED_MA
proportion, 55-59, male, primary|MYS_PROP_5559_PRI_MA
proportion, 55-59, male, secondary|MYS_PROP_5559_SEC_MA
proportion, 55-59, male, tertiary|MYS_PROP_5559_TER_MA
proportion, 55-59, total, no education|MYS_PROP_5559_NED_MF
proportion, 55-59, total, primary|MYS_PROP_5559_PRI_MF
proportion, 55-59, total, secondary|MYS_PROP_5559_SEC_MF
proportion, 55-59, total, tertiary|MYS_PROP_5559_TER_MF
proportion, 60-64, female, no education|MYS_PROP_6064_NED_FE
proportion, 60-64, female, primary|MYS_PROP_6064_PRI_FE
proportion, 60-64, female, secondary|MYS_PROP_6064_SEC_FE
proportion, 60-64, female, tertiary|MYS_PROP_6064_TER_FE
proportion, 60-64, male, no education|MYS_PROP_6064_NED_MA
proportion, 60-64, male, primary|MYS_PROP_6064_PRI_MA
proportion, 60-64, male, secondary|MYS_PROP_6064_SEC_MA
proportion, 60-64, male, tertiary|MYS_PROP_6064_TER_MA
proportion, 60-64, total, no education|MYS_PROP_6064_NED_MF
proportion, 60-64, total, primary|MYS_PROP_6064_PRI_MF
proportion, 60-64, total, secondary|MYS_PROP_6064_SEC_MF
proportion, 60-64, total, tertiary|MYS_PROP_6064_TER_MF
proportion, 65-69, female, no education|MYS_PROP_6569_NED_FE
proportion, 65-69, female, primary|MYS_PROP_6569_PRI_FE
proportion, 65-69, female, secondary|MYS_PROP_6569_SEC_FE
proportion, 65-69, female, tertiary|MYS_PROP_6569_TER_FE
proportion, 65-69, male, no education|MYS_PROP_6569_NED_MA
proportion, 65-69, male, primary|MYS_PROP_6569_PRI_MA
proportion, 65-69, male, secondary|MYS_PROP_6569_SEC_MA
proportion, 65-69, male, tertiary|MYS_PROP_6569_TER_MA
proportion, 65-69, total, no education|MYS_PROP_6569_NED_MF
proportion, 65-69, total, primary|MYS_PROP_6569_PRI_MF
proportion, 65-69, total, secondary|MYS_PROP_6569_SEC_MF
proportion, 65-69, total, tertiary|MYS_PROP_6569_TER_MF
proportion, 65+, female, no education|MYS_PROP_65UP_NED_FE
proportion, 65+, female, primary|MYS_PROP_65UP_PRI_FE
proportion, 65+, female, secondary|MYS_PROP_65UP_SEC_FE
proportion, 65+, female, tertiary|MYS_PROP_65UP_TER_FE
proportion, 65+, male, no education|MYS_PROP_65UP_NED_MA
proportion, 65+, male, primary|MYS_PROP_65UP_PRI_MA
proportion, 65+, male, secondary|MYS_PROP_65UP_SEC_MA
proportion, 65+, male, tertiary|MYS_PROP_65UP_TER_MA
proportion, 65+, total, no education|MYS_PROP_65UP_NED_MF
proportion, 65+, total, primary|MYS_PROP_65UP_PRI_MF
proportion, 65+, total, secondary|MYS_PROP_65UP_SEC_MF
proportion, 65+, total, tertiary|MYS_PROP_65UP_TER_MF
proportion, 70-74, female, no education|MYS_PROP_7074_NED_FE
proportion, 70-74, female, primary|MYS_PROP_7074_PRI_FE
proportion, 70-74, female, secondary|MYS_PROP_7074_SEC_FE
proportion, 70-74, female, tertiary|MYS_PROP_7074_TER_FE
proportion, 70-74, male, no education|MYS_PROP_7074_NED_MA
proportion, 70-74, male, primary|MYS_PROP_7074_PRI_MA
proportion, 70-74, male, secondary|MYS_PROP_7074_SEC_MA
proportion, 70-74, male, tertiary|MYS_PROP_7074_TER_MA
proportion, 70-74, total, no education|MYS_PROP_7074_NED_MF
proportion, 70-74, total, primary|MYS_PROP_7074_PRI_MF
proportion, 70-74, total, secondary|MYS_PROP_7074_SEC_MF
proportion, 70-74, total, tertiary|MYS_PROP_7074_TER_MF
proportion, 75-79, female, no education|MYS_PROP_7579_NED_FE
proportion, 75-79, female, primary|MYS_PROP_7579_PRI_FE
proportion, 75-79, female, secondary|MYS_PROP_7579_SEC_FE
proportion, 75-79, female, tertiary|MYS_PROP_7579_TER_FE
proportion, 75-79, male, no education|MYS_PROP_7579_NED_MA
proportion, 75-79, male, primary|MYS_PROP_7579_PRI_MA
proportion, 75-79, male, secondary|MYS_PROP_7579_SEC_MA
proportion, 75-79, male, tertiary|MYS_PROP_7579_TER_MA
proportion, 75-79, total, no education|MYS_PROP_7579_NED_MF
proportion, 75-79, total, primary|MYS_PROP_7579_PRI_MF
proportion, 75-79, total, secondary|MYS_PROP_7579_SEC_MF
proportion, 75-79, total, tertiary|MYS_PROP_7579_TER_MF
proportion, 80+, female, no education|MYS_PROP_80UP_NED_FE
proportion, 80+, female, primary|MYS_PROP_80UP_PRI_FE
proportion, 80+, female, secondary|MYS_PROP_80UP_SEC_FE
proportion, 80+, female, tertiary|MYS_PROP_80UP_TER_FE
proportion, 80+, male, no education|MYS_PROP_80UP_NED_MA
proportion, 80+, male, primary|MYS_PROP_80UP_PRI_MA
proportion, 80+, male, secondary|MYS_PROP_80UP_SEC_MA
proportion, 80+, male, tertiary|MYS_PROP_80UP_TER_MA
proportion, 80+, total, no education|MYS_PROP_80UP_NED_MF
proportion, 80+, total, primary|MYS_PROP_80UP_PRI_MF
proportion, 80+, total, secondary|MYS_PROP_80UP_SEC_MF
proportion, 80+, total, tertiary|MYS_PROP_80UP_TER_MF
Public current education expenditure (% of total education expenditure)|SE_XPD_CUR_TOTL_ZS
Public current education expenditure, primary (% of current education expenditure)|SE_XPD_CUR_PRIM_ZS
Public current education expenditure, secondary (% of current education expenditure)|SE_XPD_CUR_SECO_ZS
Public current education expenditure, tertiary (% of current education expenditure)|SE_XPD_CUR_TERT_ZS
Public current expenditure on education as % of total current government expenditure|UIS_XGOVEXP_FNCUR
Public education expenditure per student (% of p.c. GDP), all levels|SE_XPD_TOTL_PC_ZS
Public education expenditure, % of GNI|SE_XPD_TOTL_GN_ZS
Pupil-teacher ratio.  Lower secondary|UIS_PTRHC_2
Pupil-teacher ratio.  Pre-primary|SE_PRE_ENRL_TC_ZS
Pupil-teacher ratio.  Upper secondary|UIS_PTRHC_3
Pupils of the official school age.  Pre-primary.  Female|UIS_E_0_AGI0_F
Pupils of the official school age.  Pre-primary.  Male|UIS_E_0_AGI0_M
Pupils of the official school age.  Pre-primary.  Total|UIS_E_0_AGI0
Pupils of the official school age.  Primary.  Female|UIS_E_1_AGI1_F
Pupils of the official school age.  Primary.  Male|UIS_E_1_AGI1_M
Pupils of the official school age.  Primary.  Total|UIS_E_1_AGI1
Pupils of the official school age.  Secondary.  Female|UIS_E_23_AGI23_F
Pupils of the official school age.  Secondary.  Male|UIS_E_23_AGI23_M
Pupils of the official school age.  Secondary.  Total|UIS_E_23_AGI23
Repeaters in primary. All grades.  Female|UIS_R_1_F
Repeaters in primary. All grades.  Total|UIS_R_1
Repeaters in primary. Grade 1.  Female|UIS_R_1_G1_F
Repeaters in primary. Grade 1.  Total|UIS_R_1_G1
Repeaters in primary. Grade 2.  Female|UIS_R_1_G2_F
Repeaters in primary. Grade 2.  Total|UIS_R_1_G2
Repeaters in primary. Grade 3.  Female|UIS_R_1_G3_F
Repeaters in primary. Grade 3.  Total|UIS_R_1_G3
Repeaters in primary. Grade 4.  Female|UIS_R_1_G4_F
Repeaters in primary. Grade 4.  Total|UIS_R_1_G4
Repeaters in primary. Grade 5.  Female|UIS_R_1_G5_F
Repeaters in primary. Grade 5.  Total|UIS_R_1_G5
Repeaters in primary. Grade 6.  Female|UIS_R_1_G6_F
Repeaters in primary. Grade 6.  Total|UIS_R_1_G6
Repeaters in primary. Grade 7.  Female|UIS_R_1_G7_F
Repeaters in primary. Grade 7.  Total|UIS_R_1_G7
Repeaters in primary. Grade unspecified.  Female|UIS_R_1_GUK_F
Repeaters in primary. Grade unspecified.  Total|UIS_R_1_GUK
Repeaters in secondary. All grades. Female|UIS_R_23_GPV_F
Repeaters in secondary. All grades. Total|UIS_R_23_GPV
Repeaters in secondary. Grade 1. Female|UIS_R_23_GPV_G1_F
Repeaters in secondary. Grade 1. Total|UIS_R_23_GPV_G1
Repeaters in secondary. Grade 10. Female|UIS_R_23_GPV_G10_F
Repeaters in secondary. Grade 10. Total|UIS_R_23_GPV_G10
Repeaters in secondary. Grade 2. Female|UIS_R_23_GPV_G2_F
Repeaters in secondary. Grade 2. Total|UIS_R_23_GPV_G2
Repeaters in secondary. Grade 3. Female|UIS_R_23_GPV_G3_F
Repeaters in secondary. Grade 3. Total|UIS_R_23_GPV_G3
Repeaters in secondary. Grade 4. Female|UIS_R_23_GPV_G4_F
Repeaters in secondary. Grade 4. Total|UIS_R_23_GPV_G4
Repeaters in secondary. Grade 5. Female|UIS_R_23_GPV_G5_F
Repeaters in secondary. Grade 5. Total|UIS_R_23_GPV_G5
Repeaters in secondary. Grade 6. Female|UIS_R_23_GPV_G6_F
Repeaters in secondary. Grade 6. Total|UIS_R_23_GPV_G6
Repeaters in secondary. Grade 7. Female|UIS_R_23_GPV_G7_F
Repeaters in secondary. Grade 7. Total|UIS_R_23_GPV_G7
Repeaters in secondary. Grade 8. Female|UIS_R_23_GPV_G8_F
Repeaters in secondary. Grade 8. Total|UIS_R_23_GPV_G8
Repeaters in secondary. Grade 9. Female|UIS_R_23_GPV_G9_F
Repeaters in secondary. Grade 9. Total|UIS_R_23_GPV_G9
Repetition rate in primary. Grade 1. Female|UIS_REPR_1_G1_F
Repetition rate in primary. Grade 1. Male|UIS_REPR_1_G1_M
Repetition rate in primary. Grade 1. Total|UIS_REPR_1_G1
Repetition rate in primary. Grade 2. Female|UIS_REPR_1_G2_F
Repetition rate in primary. Grade 2. Male|UIS_REPR_1_G2_M
Repetition rate in primary. Grade 2. Total|UIS_REPR_1_G2
Repetition rate in primary. Grade 3. Female|UIS_REPR_1_G3_F
Repetition rate in primary. Grade 3. Male|UIS_REPR_1_G3_M
Repetition rate in primary. Grade 3. Total|UIS_REPR_1_G3
Repetition rate in primary. Grade 4. Female|UIS_REPR_1_G4_F
Repetition rate in primary. Grade 4. Male|UIS_REPR_1_G4_M
Repetition rate in primary. Grade 4. Total|UIS_REPR_1_G4
Repetition rate in primary. Grade 5. Female|UIS_REPR_1_G5_F
Repetition rate in primary. Grade 5. Male|UIS_REPR_1_G5_M
Repetition rate in primary. Grade 5. Total|UIS_REPR_1_G5
Repetition rate in primary. Grade 6. Female|UIS_REPR_1_G6_F
Repetition rate in primary. Grade 6. Male|UIS_REPR_1_G6_M
Repetition rate in primary. Grade 6. Total|UIS_REPR_1_G6
Repetition rate in primary. Grade 7. Female|UIS_REPR_1_G7_F
Repetition rate in primary. Grade 7. Male|UIS_REPR_1_G7_M
Repetition rate in primary. Grade 7. Total|UIS_REPR_1_G7
SACMEQ:Mean performance on the mathematics scale|LO_SACMEQ_MAT
SACMEQ:Mean performance on the mathematics scale, female|LO_SACMEQ_MAT_FE
SACMEQ:Mean performance on the mathematics scale, male|LO_SACMEQ_MAT_MA
SACMEQ:Mean performance on the reading scale, female|LO_SACMEQ_REA_FE
SACMEQ:Mean performance on the reading scale, male|LO_SACMEQ_REA_MA
SACMEQ:Mean performance on the reading scale, total|LO_SACMEQ_REA
SACMEQ:Students at the highest level of proficiency on the mathematics scale (%)|LO_SACMEQ_MAT_HIG
SACMEQ:Students at the highest level of proficiency on the mathematics scale (%), female|LO_SACMEQ_MAT_HIG_FE
SACMEQ:Students at the highest level of proficiency on the mathematics scale (%), male|LO_SACMEQ_MAT_HIG_MA
SACMEQ:Students at the highest level of proficiency on the reading scale (%)|LO_SACMEQ_REA_HIG
SACMEQ:Students at the highest level of proficiency on the reading scale (%), female|LO_SACMEQ_REA_HIG_FE
SACMEQ:Students at the highest level of proficiency on the reading scale (%), male|LO_SACMEQ_REA_HIG_MA
SACMEQ:Students at the lowest level of proficiency on the mathematics scale (%)|LO_SACMEQ_MAT_LOW
SACMEQ:Students at the lowest level of proficiency on the mathematics scale (%), female|LO_SACMEQ_MAT_LOW_FE
SACMEQ:Students at the lowest level of proficiency on the mathematics scale (%), male|LO_SACMEQ_MAT_LOW_MA
SACMEQ:Students at the lowest level of proficiency on the reading scale (%)|LO_SACMEQ_REA_LOW
SACMEQ:Students at the lowest level of proficiency on the reading scale (%), female|LO_SACMEQ_REA_LOW_FE
SACMEQ:Students at the lowest level of proficiency on the reading scale (%), male|LO_SACMEQ_REA_LOW_MA
School age population.  Official entrance age.  Female|UIS_SAP_1_G1_F
School age population.  Official entrance age.  Male|UIS_SAP_1_G1_M
School age population.  Official entrance age.  Total|UIS_SAP_1_G1
School age population.  Post-secondary.  Female|UIS_SAP_4_F
School age population.  Post-secondary.  Male|UIS_SAP_4_M
School age population.  Post-secondary.  Total|UIS_SAP_4
School age population. Primary. Last Grade. Female|SP_PRM_GRAD_FE
School age population. Primary. Last Grade. Male|SP_PRM_GRAD_MA
School age population. Primary. Last Grade. Total|SP_PRM_GRAD_TO
School life expectancy (years).  Pre-primary.  Female|UIS_SLE_0_F
School life expectancy (years).  Pre-primary.  Male|UIS_SLE_0_M
School life expectancy (years).  Pre-primary.  Total|UIS_SLE_0
School life expectancy (years).  Primary to secondary.  Female|UIS_SLE_123_F
School life expectancy (years).  Primary to secondary.  Male|UIS_SLE_123_M
School life expectancy (years).  Primary to secondary.  Total|UIS_SLE_123
School life expectancy (years).  Tertiary.  Female|UIS_SLE_56_F
School life expectancy (years).  Tertiary.  Male|UIS_SLE_56_M
School life expectancy (years).  Tertiary.  Total|UIS_SLE_56
Secondary education, general pupils, female|SE_SEC_ENRL_GC_FE
Secondary education, teachers (% trained)|SE_SEC_TCAQ_ZS
Secondary education, teachers (% trained), female|SE_SEC_TCAQ_FE_ZS
Secondary education, teachers (% trained), male|SE_SEC_TCAQ_MA_ZS
Secondary education, vocational pupils, female|SE_SEC_ENRL_VO_FE
Share of expenditure for tertiary education (% of total education expenditure)|SE_XPD_TERT_ZS
Share of primary school-age children enrolled in pre-primary education (%). Female|UIS_ROFSPPT_1_F
Share of primary school-age children enrolled in pre-primary education (%). Male|UIS_ROFSPPT_1_M
Share of primary school-age children enrolled in pre-primary education (%). Total|UIS_ROFSPPT_1
Starting age of compulsory education|UIS_CEAGE_1
Starting month of the academic year (Questionnaire A)|UIS_AY_SM
Starting year of the academic year (Questionnaire A)|UIS_AY_SY
Student enrollment, primary, female|SE_PRM_ENRL_FE
Student enrollment, secondary, female|SE_SEC_ENRL_FE
Student enrollment, tertiary, female|SE_TER_ENRL_FE
Student enrollment, tertiary, male|SE_TER_ENRL_MA
Student enrollment, tertiary, total|SE_TER_ENRL
Survival rate to grade 4.  Female|UIS_SR_1_G4_F
Survival rate to grade 4.  Male|UIS_SR_1_G4_M
Survival rate to grade 4.  Total|UIS_SR_1_G4
Teaching staff in 5A tertiary. Public and private. Full and part-time. All programmes. Female|UIS_T_5_A_F
Teaching staff in 5A tertiary. Public and private. Full and part-time. All programmes. Total|UIS_T_5_A
Teaching staff in 5B tertiary. Public and private. Full and part-time. All programmes. Female|UIS_T_5_B_F
Teaching staff in 5B tertiary. Public and private. Full and part-time. All programmes. Total|UIS_T_5_B
Teaching staff in lower secondary. Public and private. Full and part-time. All programmes. Female|UIS_T_2_F
Teaching staff in lower secondary. Public and private. Full and part-time. All programmes. Total|UIS_T_2
Teaching staff in lower secondary. Public and private. Full and part-time. General programmes. Female|UIS_T_2_GPV_F
Teaching staff in lower secondary. Public and private. Full and part-time. General programmes. Total|UIS_T_2_GPV
Teaching staff in lower secondary. Public and private. Full and part-time. Technical/vocational programmes. Female|UIS_T_2_V_F
Teaching staff in lower secondary. Public and private. Full and part-time. Technical/vocational programmes. Total|UIS_T_2_V
Teaching staff in post-secondary. Public and private. Full and part-time. All programmes. Female|UIS_T_4_F
Teaching staff in post-secondary. Public and private. Full and part-time. All programmes. Total|UIS_T_4
Teaching staff in post-secondary. Public and private. Full and part-time. General programmes. Female|UIS_T_4_GPV_F
Teaching staff in post-secondary. Public and private. Full and part-time. General programmes. Total|UIS_T_4_GPV
Teaching staff in post-secondary. Public and private. Full and part-time. Technical/vocational programmes. Female|UIS_T_4_V_F
Teaching staff in post-secondary. Public and private. Full and part-time. Technical/vocational programmes. Total|UIS_T_4_V
Teaching staff in pre-primary. Public and private. Full and part-time. All programmes. Female|SE_PRE_TCHR_FE
Teaching staff in pre-primary. Public and private. Full and part-time. All programmes. Total|SE_PRE_TCHR
Teaching staff in primary. Public and private. Full and part-time. All programmes. Female|SE_PRM_TCHR_FE
Teaching staff in total secondary. Public and private. Full and part-time. All programmes. Male|SE_SEC_TCHR_MA
Teaching staff in total secondary. Public and private. Full and part-time. General programmes. Female|UIS_T_23_GPV_F
Teaching staff in total secondary. Public and private. Full and part-time. General programmes. Total|UIS_T_23_GPV
Teaching staff in total secondary. Public and private. Full and part-time. Technical/vocational programmes. Female|UIS_T_23_V_F
Teaching staff in total secondary. Public and private. Full and part-time. Technical/vocational programmes. Total|UIS_T_23_V
Teaching staff in total tertiary. Public and private. Full and part-time. All programmes. Female|SE_TER_TCHR_FE
Teaching staff in upper secondary. Public and private. Full and part-time. All programmes. Female|UIS_T_3_F
Teaching staff in upper secondary. Public and private. Full and part-time. All programmes. Total|UIS_T_3
Teaching staff in upper secondary. Public and private. Full and part-time. General programmes. Female|UIS_T_3_GPV_F
Teaching staff in upper secondary. Public and private. Full and part-time. General programmes. Total|UIS_T_3_GPV
Teaching staff in upper secondary. Public and private. Full and part-time. Technical/vocational programmes. Female|UIS_T_3_V_F
Teaching staff in upper secondary. Public and private. Full and part-time. Technical/vocational programmes. Total|UIS_T_3_V
Technical/vocational enrolment in lower secondary (ISCED 2) as % of total enrolment in lower secondary (ISCED 2)|UIS_GTVP_2_V
Technical/vocational enrolment in upper secondary (ISCED 3) as % of total enrolment in upper secondary (ISCED 3)|UIS_GTVP_3_V
Tertiary education, teachers|SE_TER_TCHR
TIMSS:Eighth grade students reaching the advanced international benchmark of mathematics achievement (%)|LO_TIMSS_MAT8_ADV
TIMSS:Eighth grade students reaching the advanced international benchmark of science achievement (%)|LO_TIMSS_SCI8_ADV
TIMSS:Eighth grade students reaching the low international benchmark of mathematics achievement (%)|LO_TIMSS_MAT8_LOW
TIMSS:Eighth grade students reaching the low international benchmark of science achievement (%)|LO_TIMSS_SCI8_LOW
TIMSS:Fourth  grade students reaching the advanced international benchmark of mathematics achievement (%)|LO_TIMSS_MAT4_ADV
TIMSS:Fourth  grade students reaching the advanced international benchmark of science achievement (%)|LO_TIMSS_SCI4_ADV
TIMSS:Fourth  grade students reaching the low international benchmark of mathematics achievement (%)|LO_TIMSS_MAT4_LOW
TIMSS:Fourth  grade students reaching the low international benchmark of science achievement (%)|LO_TIMSS_SCI4_LOW
TIMSS:Mean performance on the mathematics scale  for eighth grade students, female|LO_TIMSS_MAT8_FE
TIMSS:Mean performance on the mathematics scale  for eighth grade students, male|LO_TIMSS_MAT8_MA
TIMSS:Mean performance on the mathematics scale  for eighth grade students, total|LO_TIMSS_MAT8
TIMSS:Mean performance on the mathematics scale  for fourth grade students, female|LO_TIMSS_MAT4_FE
TIMSS:Mean performance on the mathematics scale  for fourth grade students, male|LO_TIMSS_MAT4_MA
TIMSS:Mean performance on the mathematics scale  for fourth grade students, total|LO_TIMSS_MAT4
TIMSS:Mean performance on the science scale  for eighth grade students, female|LO_TIMSS_SCI8_FE
TIMSS:Mean performance on the science scale  for eighth grade students, male|LO_TIMSS_SCI8_MA
TIMSS:Mean performance on the science scale  for eighth grade students, total|LO_TIMSS_SCI8
TIMSS:Mean performance on the science scale  for fourth grade students, female|LO_TIMSS_SCI4_FE
TIMSS:Mean performance on the science scale  for fourth grade students, male|LO_TIMSS_SCI4_MA
TIMSS:Mean performance on the science scale  for fourth grade students, total|LO_TIMSS_SCI4
Total expenditure on educational institutions and administration as a % of GDP. All sources. All levels|UIS_XGDP_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. All sources. Pre-primary|UIS_XGDP_0_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. All sources. Primary|UIS_XGDP_1_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. All sources. Secondary and post-secondary non-tertiary|UIS_XGDP_234_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. All sources. Tertiary|UIS_XGDP_56_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. International sources. All levels|UIS_XGDP_FSINT_FDINST_FFD
Total expenditure on educational institutions and administration as a % of GDP. Private sources. All levels|UIS_XGDP_FSPR_FDINST_FFD
Total expenditure on educational institutions and administration as a % of GDP. Private sources. Pre-primary|UIS_XGDP_0_FSPR_FDINST_FFD
Total expenditure on educational institutions and administration as a % of GDP. Private sources. Primary|UIS_XGDP_1_FSPR_FDINST_FFD
Total expenditure on educational institutions and administration as a % of GDP. Private sources. Secondary and post-secondary non-tertiary|UIS_XGDP_234_FSPR_FDINST_FFD
Total expenditure on educational institutions and administration as a % of GDP. Private sources. Tertiary|UIS_XGDP_56_FSPR_FDINST_FFD
Total expenditure on educational institutions and administration as a % of GDP. Public sources. All levels|UIS_XGDP_FSGOV_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. Public sources. Pre-primary|UIS_XGDP_0_FSGOV_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. Public sources. Primary|UIS_XGDP_1_FSGOV_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. Public sources. Secondary and post-secondary non-tertiary|XGDP_234_FSGOV_FDINSTADM_FFD
Total expenditure on educational institutions and administration as a % of GDP. Public sources. Tertiary|XGDP_56_FSGOV_FDINSTADM_FFD
Under-age enrolment ratio. Primary. Female|UIS_UAPP_1_F
Under-age enrolment ratio. Primary. Male|UIS_UAPP_1_M
Under-age enrolment ratio. Primary. Total|UIS_UAPP_1
Vocational and Technical enrollment (% of total secondary enrollment), female|SE_SEC_ENRL_FE_VO_ZS
Vocational and Technical enrollment (% of total secondary enrollment), male|SE_SEC_ENRL_MA_VO_ZS
Vocational and Technical enrollment (% of total secondary enrollment), total|SE_SEC_ENRL_VO_ZS
Youth illiterate population. % female|UIS_LPP_AG15T24
Youth illiterate population. Female|UIS_LP_AG15T24_F
Youth illiterate population. Male|UIS_LP_AG15T24_M
Youth illiterate population. Total|UIS_LP_AG15T24

